Time: 2023-05-15 22:27:01   ||  Emotion: Happy
Time: 2023-05-15 22:27:01   ||  Emotion: Fear
Time: 2023-05-15 22:27:01   ||  Emotion: Fear
Time: 2023-05-15 22:27:01   ||  Emotion: Fear
Time: 2023-05-15 22:27:01   ||  Emotion: Fear
Time: 2023-05-15 22:27:02   ||  Emotion: Fear
Time: 2023-05-15 22:27:02   ||  Emotion: Fear
Time: 2023-05-15 22:27:02   ||  Emotion: Fear
Time: 2023-05-15 22:27:02   ||  Emotion: Happy
Time: 2023-05-15 22:27:02   ||  Emotion: Happy
Time: 2023-05-15 22:27:03   ||  Emotion: Happy
Time: 2023-05-15 22:27:03   ||  Emotion: Happy
Time: 2023-05-15 22:27:03   ||  Emotion: Happy
Time: 2023-05-15 22:27:03   ||  Emotion: Happy
Time: 2023-05-15 22:27:03   ||  Emotion: Happy
Time: 2023-05-15 22:27:03   ||  Emotion: Happy
Time: 2023-05-15 22:27:04   ||  Emotion: Happy
Time: 2023-05-15 23:11:07 || Emotion: Fear
Time: 2023-05-15 23:11:07 || Emotion: Fear
Time: 2023-05-15 23:11:07 || Emotion: Fear
Time: 2023-05-15 23:11:07 || Emotion: Fear
Time: 2023-05-15 23:11:08 || Emotion: Fear
Time: 2023-05-15 23:11:08 || Emotion: Fear
Time: 2023-05-15 23:11:08 || Emotion: Fear
Time: 2023-05-15 23:11:08 || Emotion: Fear
Time: 2023-05-15 23:11:08 || Emotion: Fear
Time: 2023-05-15 23:11:08 || Emotion: Fear
Time: 2023-05-15 23:11:09 || Emotion: Fear
Time: 2023-05-15 23:11:09 || Emotion: Happy
Time: 2023-05-15 23:11:09 || Emotion: Fear
Time: 2023-05-15 23:11:09 || Emotion: Fear
Time: 2023-05-15 23:11:09 || Emotion: Happy
Time: 2023-05-15 23:11:09 || Emotion: Angry
Time: 2023-05-15 23:11:09 || Emotion: Happy
Time: 2023-05-15 23:11:10 || Emotion: Angry
Time: 2023-05-15 23:11:10 || Emotion: Fear
Time: 2023-05-15 23:11:10 || Emotion: Fear
Time: 2023-05-15 23:11:10 || Emotion: Fear
Time: 2023-05-15 23:11:10 || Emotion: Fear
Time: 2023-05-15 23:11:11 || Emotion: Fear
Time: 2023-05-15 23:11:11 || Emotion: Fear
Time: 2023-05-15 23:11:11 || Emotion: Fear
Time: 2023-05-15 23:11:11 || Emotion: Fear
Time: 2023-05-15 23:11:11 || Emotion: Fear
Time: 2023-05-15 23:11:11 || Emotion: Fear
Time: 2023-05-15 23:11:12 || Emotion: Fear
Time: 2023-05-15 23:11:12 || Emotion: Fear
Time: 2023-05-15 23:11:12 || Emotion: Fear
Time: 2023-05-15 23:11:12 || Emotion: Fear
Time: 2023-05-15 23:11:12 || Emotion: Fear
Time: 2023-05-15 23:11:13 || Emotion: Fear
Time: 2023-05-15 23:11:13 || Emotion: Fear
Time: 2023-05-15 23:11:13 || Emotion: Fear
Time: 2023-05-15 23:11:13 || Emotion: Fear
Time: 2023-05-15 23:11:13 || Emotion: Fear
Time: 2023-05-15 23:11:14 || Emotion: Surprise
Time: 2023-05-15 23:11:14 || Emotion: Fear
Time: 2023-05-15 23:11:14 || Emotion: Fear
Time: 2023-05-15 23:11:14 || Emotion: Surprise
Time: 2023-05-15 23:11:14 || Emotion: Fear
Time: 2023-05-15 23:11:15 || Emotion: Happy
Time: 2023-05-15 23:11:15 || Emotion: Happy
Time: 2023-05-15 23:11:15 || Emotion: Happy
Time: 2023-05-15 23:11:15 || Emotion: Happy
Time: 2023-05-15 23:11:15 || Emotion: Happy
Time: 2023-05-15 23:11:15 || Emotion: Fear
Time: 2023-05-15 23:11:16 || Emotion: Fear
Time: 2023-05-15 23:11:16 || Emotion: Fear
Time: 2023-05-15 23:11:16 || Emotion: Fear
Time: 2023-05-15 23:11:16 || Emotion: Fear
Time: 2023-05-15 23:11:16 || Emotion: Fear
Time: 2023-05-15 23:11:17 || Emotion: Fear
Time: 2023-05-15 23:11:17 || Emotion: Surprise
Time: 2023-05-15 23:11:17 || Emotion: Fear
Time: 2023-05-15 23:11:17 || Emotion: Surprise
Time: 2023-05-15 23:11:17 || Emotion: Surprise
Time: 2023-05-15 23:11:18 || Emotion: Fear
Time: 2023-05-15 23:11:18 || Emotion: Surprise
Time: 2023-05-15 23:11:18 || Emotion: Surprise
Time: 2023-05-15 23:11:18 || Emotion: Fear
Time: 2023-05-15 23:11:19 || Emotion: Surprise
Time: 2023-05-15 23:11:19 || Emotion: Fear
Time: 2023-05-15 23:11:19 || Emotion: Angry
Time: 2023-05-15 23:11:19 || Emotion: Fear
Time: 2023-05-15 23:11:19 || Emotion: Fear
Time: 2023-05-15 23:11:20 || Emotion: Fear
Time: 2023-05-15 23:11:20 || Emotion: Fear
Time: 2023-05-15 23:11:20 || Emotion: Fear
Time: 2023-05-15 23:11:20 || Emotion: Fear
Time: 2023-05-15 23:11:20 || Emotion: Fear
Time: 2023-05-15 23:11:20 || Emotion: Fear
Time: 2023-05-15 23:11:21 || Emotion: Fear
Time: 2023-05-15 23:11:21 || Emotion: Fear
Time: 2023-05-15 23:11:21 || Emotion: Fear
Time: 2023-05-15 23:11:21 || Emotion: Fear
Time: 2023-05-15 23:11:21 || Emotion: Fear
Time: 2023-05-15 23:11:22 || Emotion: Fear
Time: 2023-05-15 23:11:22 || Emotion: Fear
Time: 2023-05-15 23:11:22 || Emotion: Fear
Time: 2023-05-15 23:11:22 || Emotion: Fear
Time: 2023-05-15 23:11:23 || Emotion: Fear
Time: 2023-05-15 23:11:23 || Emotion: Fear
Time: 2023-05-15 23:11:23 || Emotion: Fear
Time: 2023-05-15 23:11:23 || Emotion: Fear
Time: 2023-05-15 23:11:23 || Emotion: Fear
Time: 2023-05-15 23:11:24 || Emotion: Fear
Time: 2023-05-15 23:11:24 || Emotion: Fear
Time: 2023-05-15 23:11:24 || Emotion: Fear
Time: 2023-05-15 23:11:24 || Emotion: Fear
Time: 2023-05-15 23:11:24 || Emotion: Fear
Time: 2023-05-15 23:11:25 || Emotion: Fear
Time: 2023-05-15 23:11:25 || Emotion: Fear
Time: 2023-05-15 23:11:25 || Emotion: Fear
Time: 2023-05-15 23:11:25 || Emotion: Fear
Time: 2023-05-15 23:11:25 || Emotion: Fear
Time: 2023-05-15 23:11:26 || Emotion: Fear
Time: 2023-05-15 23:11:26 || Emotion: Fear
Time: 2023-05-15 23:11:26 || Emotion: Fear
Time: 2023-05-15 23:11:26 || Emotion: Fear
Time: 2023-05-15 23:11:26 || Emotion: Fear
Time: 2023-05-15 23:11:27 || Emotion: Fear
Time: 2023-05-15 23:11:27 || Emotion: Fear
Time: 2023-05-15 23:11:27 || Emotion: Fear
Time: 2023-05-15 23:11:27 || Emotion: Fear
Time: 2023-05-15 23:11:27 || Emotion: Fear
Time: 2023-05-15 23:11:28 || Emotion: Fear
Time: 2023-05-15 23:11:28 || Emotion: Fear
Time: 2023-05-15 23:11:28 || Emotion: Fear
Time: 2023-05-15 23:11:28 || Emotion: Fear
Time: 2023-05-15 23:11:28 || Emotion: Fear
Time: 2023-05-15 23:11:29 || Emotion: Fear
Time: 2023-05-15 23:11:29 || Emotion: Fear
Time: 2023-05-15 23:11:29 || Emotion: Fear
Time: 2023-05-15 23:11:29 || Emotion: Fear
Time: 2023-05-15 23:11:29 || Emotion: Fear
Time: 2023-05-15 23:11:30 || Emotion: Fear
Time: 2023-05-15 23:11:30 || Emotion: Fear
Time: 2023-05-15 23:11:30 || Emotion: Angry
Time: 2023-05-15 23:11:30 || Emotion: Fear
Time: 2023-05-15 23:11:30 || Emotion: Fear
Time: 2023-05-15 23:12:18 || Emotion: Fear
Time: 2023-05-15 23:12:18 || Emotion: Fear
Time: 2023-05-15 23:12:19 || Emotion: Fear
Time: 2023-05-15 23:12:19 || Emotion: Fear
Time: 2023-05-15 23:12:19 || Emotion: Fear
Time: 2023-05-15 23:12:19 || Emotion: Fear
Time: 2023-05-15 23:12:19 || Emotion: Angry
Time: 2023-05-15 23:12:20 || Emotion: Fear
Time: 2023-05-15 23:12:20 || Emotion: Fear
Time: 2023-05-15 23:12:20 || Emotion: Fear
Time: 2023-05-15 23:12:20 || Emotion: Fear
Time: 2023-05-15 23:12:20 || Emotion: Fear
Time: 2023-05-15 23:12:20 || Emotion: Fear
Time: 2023-05-15 23:12:21 || Emotion: Fear
Time: 2023-05-15 23:12:21 || Emotion: Happy
Time: 2023-05-15 23:12:21 || Emotion: Angry
Time: 2023-05-15 23:12:21 || Emotion: Happy
Time: 2023-05-15 23:12:22 || Emotion: Happy
Time: 2023-05-15 23:12:22 || Emotion: Fear
Time: 2023-05-15 23:12:22 || Emotion: Fear
Time: 2023-05-15 23:12:22 || Emotion: Fear
Time: 2023-05-15 23:12:22 || Emotion: Fear
